"","Model Year","Make","Model Name","Vehicle Class","Engine Size (L)","Cylinders","Transmission","Fuel Type","Fuel Consumption: City (L/100 km)","Fuel Consumption: Hwy (L/100 km)","Fuel Consuption: Comb (L/100 km)","Fuel Consuption: Comb (mpg)","CO2 Emissions (g/km)","CO2 Rating","Smog Rating"
"1",2020,"Acura","MDX SH-AWD A-SPEC","SUV: Small",3.5,6,"AS9","Z",12.2,9.5,11,26,258,4,3
"2",2020,"Acura","ILX","Compact",2.4,4,"AM8","Z",9.9,7,8.6,33,199,6,3
"3",2020,"Alfa Romeo","Giulia","Mid-size",2,4,"A8","Z",10,7.2,8.7,32,205,6,3
"4",2020,"Alfa Romeo","Stelvio","SUV: Small",2,4,"A8","Z",10.3,8.1,9.3,30,218,5,3
"5",2020,"Aston Martin","DB11 V8","Minicompact",4,8,"A8","Z",13,9.8,11.5,25,271,4,3
"6",2020,"Audi","A5 Sportback quattro","Mid-size",2,4,"AM7","Z",10,7.3,8.8,32,205,6,3
"7",2020,"Audi","A6 allroad","Mid-size",3,6,"AM7","Z",11.8,9.1,10.6,27,247,4,5
"8",2020,"Audi","S5","Subcompact",3,6,"AS8","Z",11.8,8.9,10.5,27,245,5,5
"9",2020,"Audi","TT Coupe quattro","Subcompact",2,4,"AM7","X",10.3,7.7,9.1,31,213,5,7
"10",2020,"Audi","S3","Subcompact",2,4,"AM7","Z",10.7,8,9.5,30,222,5,3
"11",2020,"Audi","SQ5","SUV: Small",3,6,"AS8","Z",13.1,10.3,11.8,24,276,4,5
"12",2020,"Audi","A6 quattro","Mid-size",2,4,"AM7","Z",9.8,7.4,8.7,32,205,6,5
"13",2020,"Audi","TT Roadster quattro","Two-seater",2,4,"AM7","X",10.3,7.7,9.1,31,213,5,7
"14",2020,"Bentley","Continental GT","Compact",4,8,"AM8","Z",15.1,9.1,12.4,23,291,3,3
"15",2020,"Bentley","Flying Spur","Mid-size",6,12,"AM8","Z",19.2,12.2,16,18,373,2,3
"16",2020,"BMW","540i xDrive Sedan","Mid-size",3,6,"AS8","Z",10.7,8.1,9.5,30,222,5,5
"17",2020,"BMW","M4 Coupe","Compact",3,6,"M6","Z",13.4,9.6,11.7,24,273,4,3
"18",2020,"BMW","Alpina B7 xDrive","Full-size",4.4,8,"AS8","Z",14.5,9.9,12.4,23,290,3,3
"19",2020,"BMW","M4 Coupe Competition","Compact",3,6,"AM7","Z",14.1,10.3,12.4,23,290,3,3
"20",2020,"BMW","M8 Cabriolet Competition","Subcompact",4.4,8,"AS8","Z",16,11,13.8,20,322,3,3
"21",2020,"BMW","X4 M40i","SUV: Small",3,6,"AS8","Z",11.3,8.7,10.1,28,235,5,5
